job_name,job_stars,job_category,job_description,company_name,company_type,company_size,company_industry,company_introduction,min_salary,max_salary,mid_salary,place,exp_years,education
设计师助理,"绩效奖金,专业培训,五险一金,节日福利","家具设计/家居设计,展览/展示/店面设计","岗位职责：,1.协助空间设计师画展厅施工图；,2.协助空间设计师下单；,3.其它领导安排的工作。,任职要求：,1.23-35岁，男女不限，大专及以上学历，家具艺术设计类专业优先；,2.良好的沟通表达能力，有较强的抗压力；,3.有两年以上全屋设计经验；,4.熟练操作3Dmax、CAD等软件。,薪资福利：五险一金+节假日福利+国家法定假日休息+提供食宿+免费班车",成都德贝实业有限公司,民营公司,150-500人,"家居/室内设计/装潢,建筑/建材/工程",德贝厨柜成立于1994年，是中国西部地区建立时间最早的专业厨柜制造商之一。我们一直跟随市场需求，定位于研发、生产、销售、售后安装于一体的中高端全屋定制家居企业。德贝设立三个工厂，位于郫都区现代工业港北区，生产面积达76000平方米，目前直属员工近1000人，专卖店遍布全国。2018年建成了西部规模***、设施最先进的专业化家居生产基地，是西部首屈一指的中高端全屋定制家居生产企业。    为方便管理，德贝斥巨资研发出ERP集成化管理信息系统，其独有的电子商务e平台可实现与全国销售网络远程下单，并自动生成报价，使德贝管理水平更加规范化。凭借着优质的产品、强大的生产力和高度职业化的服务团队，我们成为万科、置信等房产商首选配套商。在产品设计创新上，更是年年荣获设计奖杯，新产品一经推出便获得客户青睐。打造高端舒适、适用的家居一直是德贝人永不放弃的理念。    近年来，人才的挖掘与培育，一直是德贝的重要工作之一。根据实践经验，我们建立了一套适用的人才培养机制，许多优秀人才从中发掘并委以重任。现今在德贝工作5年以上的员工达80%，和谐、宽容、奋进的团队氛围使员工在企业中找到适于自身发展的空间。期待对自我有认知、对职业有规划、对未来有抱负的您加入德贝！,4500,6000,5250.0,成都-郫都区,2年经验,大专
3D设计师/三维动画师/动画设计师,,"动画/3D设计,多媒体设计","诚聘资深Cinema 4d大佬！！！,1、能熟练使用c4d完成建模，动画，材质贴图制作，灯光渲染，影视广告中的动画镜头，烟火流体、布料动力学等特效的制作；,2、根据项目要求可以独立完成三维动画设计，包含人物、大场景、单体部件等动画展示；,3、对视觉设计、色彩有敏锐的观察力及分析能力，带领三维团队保质保量完成短期和长期项目制作需求；,4、独立且高质量的完成设计方案，能够清晰准确地表现出脚本需求，并对影片的美感进行把控；,5、有创意理念，善于理解和把握客户的需求；,6、配合项目部，确保项目按图实施，完美体现设计创意，并主动配合项目部和客户之前的沟通；,7、能充分积累并使用自己的视觉设计经验，及时提出崭新的创意方案；,职位要求：,1、大专及以上学历，美术类、设计类相关专业优先，熟悉建筑动画，产品动画，对产品的质感表现、对三维动画和镜头运动有良好的把握，具有较强的motion graohic设计能力和构图能力；,2、至少拥有3年三维影视动画制作经验；,3、具有扎实的美术基础、色彩控制能力强、想象力丰富；,4、有独立成熟的三维作品，包括商业制作和个人作品；,5、精通应用三维制作软件3Dmax、Maya、AfterEffect、C4D等其中1-2种；,6、思维敏捷，有责任心，具有较强的理解和沟通能力，能吃苦耐劳，沟通表达能力强，有带领团队经验者优先；,7、极强的团队合作意识，对工作保有热情，具备一定的抗压能力。",上海野柿网络科技有限公司,民营公司,50-150人,"计算机软件,影视/媒体/艺术/文化传播",野柿娱乐自成立以来一直专注于平面设计以及广告类视频的创作，包括TVC广告、品牌宣传片、广告类短片、专题片、MG动画、病毒视频、VR视频等。服务于大量知名企业，与优秀的广告公司合作，服务的品牌包括大金空调、泊美、百雀羚、雅诗兰黛、RogerVivier、赫基、谷歌、饿了么、交通银行、汇丰银行、东风雪铁龙和大众等，通过专业服务，造就业内优秀口碑，为客户品牌宣传起到良好的推动作用 。2018年，开始尝试自媒体，为大众提供好玩、有趣的原创视频。如果你够有趣、够好玩、脑洞大那请赶紧上车，逾期不候在这里你可以找到你的好基友，更有逗B同事等你来撩。,8000,10000,9000.0,上海-静安区,2年经验,大专
画展策划执行,"五险一金,交通补贴,餐饮补贴,绩效奖金,年终奖金,定期体检","活动执行,展览/展示/店面设计","1、负责艺术展览的统筹和执行,2、负责展陈设计并落地,3、协助部门经理完成展览及部门内部相关工作的指导及协调,4、建立艺术家档案及资料管理,5、负责艺术品软装设计及客户沟通,要求：艺术/设计类专业，有展陈设计、展览执行经验",浙江信雅达文化艺术发展有限公司,民营公司,少于50人,"奢侈品/收藏品/工艺品/珠宝,影视/媒体/艺术/文化传播",浙江信雅达文化艺术发展有限公司是由信雅达集团投资创建的大型综合艺术机构，是浙江省内首个集当代传统书画艺术的展示交流、教育推广、销售经营、艺术vi策划及资本运作于一体的专业、规范、高效的艺术平台。公司以国内知名艺术机构——中国美术学院、中央美术学院为学术依托，致力于发展成为具有专业特色、规模庞大的艺术交流平台，提供具有学术前瞻性与高规格展览水平的策展服务，并不遗余力地建立直达艺术家的作品收藏通道，为中国高端人士解读艺术，呈现精品。   公司于钱塘江以南设有近3000方一线江景私属高端艺术会所——信雅达三清上艺术中心，为高雅人士提供一体化的艺术品交流、收藏、学习、鉴赏的平台，通过对艺术品的展览策划和销售推广，旨在不断扩展大众参与艺术品交易的广度和深度，培育艺术礼品、原创艺术软装饰、家庭艺术品收藏的高端消费市场。“美上美学”是信雅达文化艺术深耕艺术五年后，带着情怀而推出的高端美育平台。以引领美学生活新风尚为愿景，签约中国八大美院、九大艺术院校的专业师资，围绕艺术、生活、人文三大主题，开设基础课程、特色课程、精修课程及游学课程。场景式课程、情景式授课，带来沉浸式的美学教育体验。现有校区：杭州总部校区：杭州市滨江区江虹路1750号信雅达国际2幢47层杭州来福士校区：杭州市江干区来福士商场6层杭州西溪银泰校区：杭州市西湖区西溪银泰城2楼大连恒隆校区：大连市西岗区恒隆商场4楼上海闵行校区：上海市闵行区沪闵路7250号百联南方购物中心二区   真诚欢迎有志之士加入我们的团队！官网：www.sunyardart.com微信：搜“信雅达文化艺术”关注微博：http://e.weibo.com/sunyardart,6000,8000,7000.0,杭州-滨江区,2年经验,本科
包装美工主管,"五险一金,补充医疗保险,补充公积金,免费班车,员工旅游,弹性工作,定期体检",包装设计,"岗位职责：,1、确定设计方案：通过与客户及工程师沟通，明确客户需求，有针对性地提出产品包装结构设计方案，满足产品包装外观/运输可靠性等需求，提高工作有效性；,2、产品设计：根据设计方案，进行产品包装结构设计，输出包装图纸，并运用三维软件制作产品包装结构效果图及包装成型动画展示，供客户或内部评价； ,3、协助打样：完成打样过程中的包装结构、材料核对和调整，协助完成包装试验需求;,4、负责协助工程部分析解决量产后出现的不良和异常，负责必要的设计更改的提出，实验和验证。,5、负责包装没通团队管理等相关工作, ,任职条件：,1、本科以上学历，印刷包装相关专业，3年以上产品包装结构设计经验； ,2、熟悉包装材料，熟悉国内外包装行业及测试标准，具备较强的产品包装结构设计、开发能力； ,3、熟练使用各种专业绘图软件和办公自动化软件； ,4、具备较强的学习能力、沟通能力及创新能力；,5、英语四级以上；,6、有平面设计或丝印设计能力/经验者为佳。, ,在汉桑，你可以收获： ,3、保险公积金：国家法律规定的五险一金；价值25万的补充商业保险 ,4、多项福利包：年终奖、项目奖、节假日红包、婚丧嫁娶礼金；年度调薪；周末双休、法定节假日休息、年假、带薪病假；旅游、体检、部门活动经费以及丰富的员工活动；入职周年纪念礼品、劳保用品等 ,5、多纬度培训：新员工入职培训、试用期OJT配备一对一导师辅导；技术交流分享会；移动学习平台APP ,6、多通道晋升：双通道（技术、管理）晋升；内部轮岗 ,7、开放式文化：企业文化开放包容；跨部门沟通交流无障碍",汉桑（南京）科技有限公司,外资（非欧美）,500-1000人,电子技术/半导体/集成电路,"HANSONG Group,  成立于1998年，全球领先的提供音频，声学，无线流媒体，物联网，云和大数据解决方案和高品质智能制造垂直一体化的服务平台，始终致力于为品牌顾客创造高附加值。    运营总部在中国南京。另有丹麦，印度和美国研发中心，及分布于北美，欧洲的销售点。现拥有超过52000M2的研发和制造基地并可扩展，覆盖模具和注塑，SMT，PCBA，总装和测试等全过程制造。    汉桑现有超过1300名训练有素的员工，其中超过140名为研发工程师,从事硬件,结构，声学，软件，APP， 云和大数据等开发。    公司办公环境舒适，提供食宿，有六条班车线路通往南京市区、江宁、禄口等多个区域。公司提供富有竞争性的薪资福利待遇，完善的晋升体制，期待您的加入。在汉桑，你可以收获：1、行业龙头：影音行业知名企业，与全球众多优质品牌合作密切；2、技术领先：领先的技术平台、国际化的团队成员、极客研发氛围；3、保险公积金：国家法律规定的五险一金；价值25万的补充商业保险4、多项福利包：年终奖、项目奖、节假日红包、婚丧嫁娶礼金；年度调薪；周末双休、法定节假日休息、年假、带薪病假；旅游、体检、部门活动经费以及丰富的员工活动；入职周年纪念礼品、劳保用品等5、多纬度培训：新员工入职培训、试用期OJT配备一对一导师辅导；技术交流分享会；微课程开发大赛；移动学习平台APP6、多通道晋升：双通道（技术、管理）晋升；内部轮岗7、开放式文化：企业文化开放包容；企业文化积分；跨部门沟通交流无障碍",12500,16667,14583.5,南京-江宁区,5-7年经验,本科
美术老师,"员工旅游,交通补贴,通讯补贴,专业培训,定期体检,年终奖金,绩效奖金",音乐/美术教师,"岗位职责：1. 认真按照学校的课程体系开展美术教学,做好课前准备和课后家校沟通工作；2. 积极参与教学教研活动，参与学校教学培训，参与校区各类艺术装置的制作和各类画展，参加学校组织的其他活动。3、完成校区教学任务，在授课过程中通过各种方式诱发孩子的想象力，让每个孩子在课堂中主动探索、观察、思索、启蒙孩子自我发挥，关心每一个孩子；4、完成上级领导交办的其他工作。任职资格：1.专科及以上学历，美术相关专业，有一定的教学经验；（美术教育专业、有教师资格证优先）；2. 具有扎实的美术功底，热爱美术教育事业，有良好的职业道德素养和敬业精神；3. 喜欢孩子，有爱心、耐心、责任心、务实，富有亲和力，具备良好的沟通表达能力；4、能够稳定地工作。工作时间：每周双休周二、周三，工龄1年以上的可弹性坐班。投简历时***备上个人作品！纳溪区美术老师可放宽面试条件！",泸州市徐浩美术培训学校,创业公司,150-500人,教育/培训/院校,泸州市徐浩美术培训学校是经泸州市教育局批准设立的具有独立法人资格的民办美术教育培训机构。学校创办于2001年，在10多年来的办学历程中，学校潜心从事以儿童和青少年为主要对象的美术教育培训，学校发展迅速，在泸州城区已有12个校区，常年在校生达万人。    学校在办学过程中始终坚持以人为本、质量至上、服务***的办学理念。把向学生提供优质的美术教育服务作为学校的工作目标，将学生进步和家长满意作为评价工作的基本标准。坚守诚信服务、追求卓越的办学之道。 学校凭借先进的办学理念、专业的教学目标定位、科学的课程设计、优秀的教师团队、严格的教学管理及卓越的办学业绩，赢得了学生和家长及社会各界的高度赞誉。学校多次被市、区教育局评为优秀美术教育机构、先进民办学校。学校获得中国美术学院社会美术考级中心授权为泸州地区***的***美术考级承办机构的资格。 学校目前面向全国加盟，各地已有多家加盟校。    我们的团队年轻、朝气、温馨又充满活力，欢迎有激情、有责任的你的加入，在这里实现你人生的价值！ 泸州市徐浩美术培训学校教育/培训/院校民营100-499人泸州市江阳区江阳中路30号2楼,3000,4500,3750.0,泸州,在校生/应届生,大专
平面设计师,,平面设计师,"岗位职责,1、参与公司创意策略的研讨和制定，负责品牌的平面设计；,2、负责公司公众号、网站推广的设计美化及创意性工作，可独立完成各类设计工作；,3、可根据公司策划思路和营销概念独立完成个案，充分理解创意意图并准确体现于创意设计中；,4、负责其他相关的美术设计方面工作。,任职资格,1、美术、平面设计相关专业，大学专科及以上学历；,2、有三年以上相关工作经验；,3、熟练使用各种制图软件，如photoshop、Sketchup、Coreldraw、Indesign、llustrator等；,4、热爱本职工作，工作细心、责任心强；,5、具有较强的理解、领悟能力、工作协调能力和创造力；,6、有独特的审美，时尚前卫，对营销，品牌策划感兴趣，有阅读，鉴赏电影，音乐，画展等爱好。, ",爱生华（苏州）光学有限公司,合资,少于50人,医疗设备/器械,"爱生华(苏州)光学有限公司，国内***的新型硅水凝胶隐形眼镜产业化基地。公司由多位隐形眼镜和视光学生命医学材料行业高端美籍博士专家创办，将打造国内先进、世界一流的硅水凝胶隐形眼镜和人工晶体产品。在过去8年，我们的创业团队，为全球行业领先者提供高纯度硅水凝胶及其匹配的视光学材料，是全球著名新型硅水凝胶隐形眼镜关键材料的原创提供商，也是英美行业巨头公司长期合作伙伴。团队工厂运营管理经验扎实、研发管理经验先进、质量控制经验纯熟，专业化程度高，实战能力强。我们还走在创业的路上，但这却是一个持续性蓝海产业。一流海归专家团队营造开放、专业工作氛围。严谨系统的培训体系训练出一批80后核心中坚力量。公司创业团队吸引了众多国内外的有识之士的加盟。年轻力量持续为公司创造价值，也为自己赢得了丰厚回报。Colorful world, bright life! 我们在这里等你！",5000,8000,6500.0,苏州,3-4年经验,本科
市场专员,"员工旅游,社保,做五休二,绩效奖金,年底奖金",市场/营销/拓展专员,"任职要求：,1、大专以上学历，市场营销、广告学、新闻传播学等相关专业,2、2年工作经验以上，特别是在教育行业经验,3、 对市场营销的各个领域有基本的了解,4、 具备快速自主开展工作的能力，及时满足工作需求,5、良好的职业操守和沟通技巧，愿意在公司长期发展,公司福利：,1. 作息时间：弹性上班时间8小时，双休，朝九晚六，享受国家法定节日,2.职业发展：完善的员工晋升机制，巨大的纵横向发展空间,3.培训学习：新员工入职免费培训，不定期职业学习管理培训,4.员工福利：定期组织团队聚餐，户外拓展跟国内外旅行,5.薪资福利：享有绩效，年终奖金,6.团队氛围：满是热血，工作强劲，充满活力年轻团队",广州和润文化咨询服务有限公司,民营公司,50-150人,"政府/公共事业,影视/媒体/艺术/文化传播",广州和润文化咨询服务有限公司总部坐落于广东省广州市天河区中信广场，主要负责企业管理服务、企业管理咨询服务、策划创意服务商务咨询服务等创意策划业务及咨询服务等主营业务，同时也是一家专注人才引进的多元化创新公司。依托品牌战略规格管理能力、营销传播内容策划创意能力、整合营销传播执行能力等核心竞争优势，我们为互联网、金融、文化旅游等众多行业的客户提供专业及优质的品牌战略规划与管理、大型活动策划与创意设计、整合营销传播策划等品牌管理与整合营销传播综合服务。和润自成立以来，利用强大的行业资源和深厚的专业背景，致力于提供丰富、专业的全方位、一站式服务，借鉴国内外成功的经验，依托独创的经营理念和完善的管理体系，拒绝空谈，竭诚为国内各行业客户提供更有价值的服务。获得全国人力资源诚信服务示范单位中国就业培训技术指导中心开办技能培训学院广州思彦文化产业控股有限公司总部坐落于粤港澳大湾区的广州市天河区，艺术展厅位于广州市大学城，是国内外最具有影响力的文化艺术专业门户及活跃互动社区，是获取艺术资讯的首选平台，是文化艺术收藏投资及爱好者不可或缺的重要媒介。我们秉承“求真·务实，诚信·共赢”的发展宗旨，以从事艺术品投资、交易、展览销售、保真交易、宣传策划、鉴定评估、委托交易等一系列专业化服务，打造强视觉、超震撼、互动性、趣味性的品牌艺术，致力于艺术品流通节，整合各方优势资源，有效地拉近创作者和大众市场之间的距离，为追求高品质生活方式的普通消费者提供一个物畅其流、物尽其用的高层次、高品质的消费平台，为收藏家和艺术品从业机构提供一个健康、良性、高效的流通平台。现公司致力于发展美术教育培训，自主研发教育课程，针对各个年龄段学员为他们打造一套最适合他们方案，在这里有专业老师一对一进行辅导，师资力量非常雄厚，是八大美院毕业高材生。,10000,50000,30000.0,广州-天河区,1年经验,大专
营销创意导演（二次元游戏向） (职位编号：66412424),,市场/营销/拓展主管,"1.负责公司游戏宣传素材的创意策划相关工作（包含视频、艺人、,、,、等），并看得懂品牌的营销策略，找得到来自玩家的洞察。,2.参与各游戏项目，能够为其提供成熟的视频脚本创意并视觉画展现，跟进视频制作效果的实现与把控，让创意完美落地；,3.参与二次元游戏向、虚拟偶像、,站、短视频等相关策划及创意脚本,4.具有高阶的审美和开阔的眼界,1.热爱游戏，对于二次元文化有深刻的见解；具备二次元风格视频的创意策划能力，了解泛二次元文化,2.能够熟练应用镜头语言，把控镜头节奏，独立完成视频脚本策划及文字脚本书写 ,3.了解视频制作流程，熟悉了解,，,，3Dmax，,等音视频编辑软件和特效制作软件,4.热爱创意工作，做过多个创意相关岗位的专家型人才；脑洞清奇、创意新颖，具有对影视、游戏行业营销发展的分析能力,5.逻辑思维清晰，善于沟通、协作，富有工作激情,6.编剧、导演、广告、传媒、动画等相关专业，,年以上游戏或广告行业的工作经验优先",完美世界（北京）总部/完美时空,外资（欧美）,,影视/媒体/艺术/文化传播,完美世界（北京）总部/完美时空诚聘,15000,20000,17500.0,北京,2年经验,本科
BIM机电工程师,"五险一金,交通补贴,餐饮补贴,通讯补贴,周末双休,住房补贴,加班补贴,周末单双休","建筑机电工程师,机械工程师","1.协助项目负责人完成机电专业的模型绘制及管线优化等工作，包括但不限于图纸问题的整理、碰撞分析报告、净高分析报告、管线优化、模型出图、支吊架设计等；,2.配合项目负责人进行现场汇报工作，个别项目需要外省驻场，,3.必须按时保质保量完成项目负责人交代的工作，个人的事情个人负责好，配合起来都会很轻松；,4.配合项目进行汇报展示工作，包括但不限于获奖材料的编写、动画展示（有人带）、方案配合、现场演示、视频会议等等；,5.具备良好的沟通能力，能够独立负责项目过程中与甲方的协调沟通工作（主要包括项目过程中的图纸问题沟通、项目汇报中的现场沟通、签证变更等）；,工作年限：工作年限要求为1~3年，且至少完成过1~2个项目的机电建模及管线综合等工作；优秀应届毕业生我司也考虑，但必须为电气专业且对Revit、Cad等软件操作比较熟练 ",福建省掌经天下资产管理有限公司,民营公司,500-1000人,"专业服务(咨询、人力资源、财会),互联网/电子商务",福建省掌经天下资产管理有限公司是专业从事企业互联网服务的一家公司。近年来，在全国各地（港、澳）得到了广泛认可，产品质量得到了用户的 一致信赖；并以一流的服务，独特的创意获得了广大客户的称赞。,3000,8000,5500.0,西安-经济技术开发区,2年经验,NA
美术老师,"股票期权,年终奖金,绩效奖金,专业培训,员工旅游,寒暑假,生日福利,节假日福利,五险一金",音乐/美术教师,"岗位职责：,1、 编制4-18岁少儿美术培训课程教案，并根据教学计划完成教学任务，善于开发新课程，有自己的教学风格，工作积极主动热情，具有团队协作精神。,2、负责教室定期更新布置与学生画展布置，课前备课、课件执行、课后总结。                                    ,3、定期与家长沟通学生学习情况，学员关系维护，提高学员后期课程续课率，协助学校进行宣传和招生工作。,4、教具、教学设备以及其他教辅产品的课前准备、交接、课后整理。,任职资格：,1、美术学、油画、国画、艺术设计、雕塑等相关专业大专及以上学历，具有扎实的美术基本功及创作功底，优秀的教学能力和良好的职业道德素养。,2、热爱教育行业，热爱少儿美术教育，喜欢孩子，有亲和力，爱心和耐心，工作积极主动，有良好的沟通及解决问题的能力。,3、1年以上少儿美术教学经验，有创新思维；有美术教师资格证优先 。 ,薪资福利：,1、综合薪资全职5-8K，助教3-5K，***120-260元/课时。,2、完善的社会保险。,3、国家规定的法定节假日。,4、提成、奖金、分红、股权等多种福利。",成都平梵教育科技有限责任公司,民营公司,50-150人,教育/培训/院校,我们是中国领先的科技教育企业，以科技驱动为核心竞争力，专注于艺术教育行业，中国创新艺术教育体系创导者。公司牵头艺术专业高等学府以及教育相关部门机构，以互联网商业模式做艺术教育践行者。联合多家投资机构共同打造中国艺术教育服务平台，现已完成数百万天使轮投资。公司目前主要针对4-12的少儿以及成人的艺术教育培训，采取和社区合作的方式，目前在成都已有20多家校区（天使卓越国际学校），课程包括美术、声乐、乐器、舞蹈、书法等，后期还要开设一些文化课程。,5000,8000,6500.0,成都-金牛区,1年经验,大专
钣金结构工程师,"员工旅游,餐饮补贴,绩效奖金,年终奖金,补充医疗保险,包吃,包住宿,加班补贴","结构工程师,产品工艺/制程工程师","1、从事钣金深化1年以上；,2、熟练相关设计软件CDR、CAD等；,3、工艺设计、平面设计、结构设计；,2、样品打样跟踪和改进；,4、会拆件、画展开图。,5、项目沟通及领悟能力强",深圳市和美特标识有限公司,民营公司,50-150人,广告,深圳市和美特标识有限公司创办于2006年，2012年入驻“城市标识产业（深圳）联合基地”，主要从事钣金制品加工、标识产品设计制作、品牌终端形象展示道具制造及城市公共设施的生产制造企业。公司广泛应用于商业区域、地产项目、旅游景区、办公楼宇、工业园区、医院区域、校园区域、城市公共设施等领域。本着对产品工艺精益求精的执着追求，公司引进了剪、折、刨、铣、钻、冲、激光切割等进口全数控精密生产设备，现已建立并完善生产、质量、服务等管理体系，拥有***的技术研发人员，专业的销售团队，销售网络遍及全国各个省市。    公司以“以和为贵，以美为尊，以特为先”为经营理念，以“为客户创造价值，为员工创造机会，为社会创造效益”为宗旨，以全面实现顾客满意为目标，以实现公司、客户、员工的共赢为己任，坚持以“ 品质佳、服务好、交货快、价格优 ”为务实经营方针。    与时俱进，锐意进取，和美特愿与您携手共创佳绩，共享城市生活的精彩！,6000,8000,7000.0,深圳-光明新区,1年经验,大专
三维动画师,五险一金,影视策划/制作人员,"岗位职责,1根据项目要求可以独立完成三维动画设计，包含人物、大场景、单体部件等动画展示；,2参与三维场景、模型的设计与制作；,3有效的处理场景效果。,任职资格,1、大专及以上学历，美术类、设计类相关专业，有1年以上相关工作经验；,2、熟练使用3DMAX、Photoshop等软件工具；有工程施工动画制作经验者优先；,3、具有一定的美术功底，优秀的色彩感觉，较强的三维空间想象力和创造力；,4、熟练掌握材质、灯光的运用，对3D场景建筑建模和贴图、动画、特效均有一定的认识；,5、有责任心，沟通协调能力强，具有较强的团队合作精神。",福建省全趣网络科技有限公司,民营公司,少于50人,"计算机软件,互联网/电子商务",福建全趣网络主要从事软件、游戏研发、互联网平台运营。是一家朝气向上的创业型公司,5000,8000,6500.0,福州-鼓楼区,2年经验,大专
钣金工程师,,室内设计,,苏州金近幕墙有限公司,民营公司,150-500人,"原材料和加工,建筑/建材/工程",苏州金近幕墙有限公司成立于1992年，是国内最早从事金属内外铝板、金属吊顶板的生产、设计并可提供安装服务的专业化公司之一，优良的质量、良好的服务、快捷的供货取得了建筑装饰行业的认可和赞誉。,5000,10000,7500.0,苏州-相城区,2年经验,中专
聘美术老师4k至6k包住加五险,"五险一金,包住,专业培训,绩效奖金,团建,晋升","音乐/美术教师,小学教师","岗位职责：,1、规范完成3-12岁幼少儿美术教学课程（创意儿童画、漫画、素描）的设计和教学计划；,2、因材施教，观察学生潜能，引导学生的创作和创意思考，充分尊重学生的创作思路和理念；,3、负责与学员及家长进行沟通，了解相关需求、意见并及时反馈教学情况；,任职资格：,1、大专以上学历，至少1年以上少儿教育培训机构美术教学工作经验；,2、熟悉儿童画教育方法及孩子沟通技巧；,3、沟通能力强，亲和力强，和孩子及家长沟通非常顺畅，受家长信任；,4、有创新能力，组织能力，能开展各种写生、画展比赛活动；,薪资待遇：,无责底薪+课时费+高提成 ",长沙市天心区多艺猴艺术体育培训学校有限公司,民营公司,150-500人,教育/培训/院校,"[多艺猴艺体教育连锁机构]是一一家专业艺体教育连锁机构，历时12年积累沉淀，秉承连锁化经营管理模式，科学的课程设置，专业的教学团队,优雅的教学环境，给家长和孩子提供专业的教学课程、课后服务。本中心是湖南省跆拳道品牌培训学校、湖南省高丽跆拳道联盟理事会员单位、指定考级单位，中国艺术科技研究所全国书画考级中心，报名培训点。多艺猴少儿艺体教育致力于提高青少年的文艺兴趣和艺术素养，以培训孩子兴趣为目标，培养孩子专业为方向的办学宗旨。秉承“更懂孩子的世界""教学理念，以小班制教学并融入礼仪课程、感恩课程，户外训练等综合素质训练课程,使孩子们全面发展。  目前在长沙、湖北、山西、怀化、株洲等地开设50家分校，团队成员100人，在校学员6000余人。欢迎有志青年都能加入多艺猴这个有温度的大家庭，只要你来，我们就给你平台创造属于你的价值。",4500,6000,5250.0,长沙-天心区,1年经验,大专
